id,name,launch_designator,net,window_start,window_end,status.id,status.name,status.abbrev,failreason,launch_service_provider.id,launch_service_provider.name,launch_service_provider.type.name,rocket.configuration.id,rocket.configuration.name,rocket.configuration.full_name,rocket.configuration.variant,rocket.configuration.reusable,rocket.configuration.manufacturer.id,rocket.configuration.manufacturer.name,rocket.configuration.min_stage,rocket.configuration.max_stage,rocket.configuration.length,rocket.configuration.diameter,rocket.configuration.launch_mass,rocket.configuration.to_thrust,rocket.configuration.leo_capacity,rocket.configuration.gto_capacity,rocket.configuration.geo_capacity,rocket.configuration.sso_capacity,rocket.configuration.apogee,mission.id,mission.name,mission.type,mission.description,mission.orbit.id,mission.orbit.name,mission.orbit.abbrev,pad.id,pad.name,pad.latitude,pad.longitude,rocket.launcher_stage,rocket.spacecraft_stage,rocket.payloads,timeline,updates,flightclub_url,info_urls,vid_urls
b2b23558-cba6-4c9f-89ef-76e47a53b187,Thor Agena A | Discoverer 11,1960-004,1960-04-15T20:30:37Z,1960-04-15T20:30:37Z,1960-04-15T20:30:37Z,3,Launch Successful,Success,,161,United States Air Force,Government,392,Thor Agena A,Thor Agena A,Agena A,False,153,McDonnell Douglas,2.0,2.0,28.0,2.44,53.0,667.0,250.0,,,,,1487.0,Discoverer 11,Government/Top Secret,"Discoverer 11 was an American optical reconnaissance satellite. The eighth of ten operational flights of the Corona KH-1 spy satellite series, it successfully employed the first space-worthy camera film; however, Discoverer's film return capsule was lost during reentry on 16 Apr when the satellite's spin motors exploded.",8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
7c364234-6871-4ea9-97c5-5dcd5bcec1dd,Thor Agena A | Discoverer 12,,1960-06-29T22:00:44Z,1960-06-29T22:00:44Z,1960-06-29T22:00:44Z,4,Launch Failure,Failure,,161,United States Air Force,Government,392,Thor Agena A,Thor Agena A,Agena A,False,153,McDonnell Douglas,2.0,2.0,28.0,2.44,53.0,667.0,250.0,,,,,1493.0,Discoverer 12,Government/Top Secret,Discoverer 12 was an American optical reconnaissance satellite. The fourth of five test flights of the Corona KH-1 spy satellite series. It was lost when the second stage failed during launch.,8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
b485afd9-abd0-4da4-94a4-19adf515aab9,Thor Agena A | Discoverer 13,1960-008,1960-08-10T20:37:54Z,1960-08-10T20:37:54Z,1960-08-10T20:37:54Z,3,Launch Successful,Success,,161,United States Air Force,Government,392,Thor Agena A,Thor Agena A,Agena A,False,153,McDonnell Douglas,2.0,2.0,28.0,2.44,53.0,667.0,250.0,,,,,1495.0,Discoverer 13,Government/Top Secret,Discoverer 13 was an American optical reconnaissance satellite. The lastof five test flights of the Corona KH-1 spy satellite series. It was the first fully successfuly flight of the Discoverer series. It successfuly jetissoned its payload which was recovered in the Ocean by the Navy.,8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
365e8e27-7db7-48f5-8d7d-33a3ec978e81,Thor Agena A | Discoverer 14,1960-010,1960-08-18T19:57:08Z,1960-08-18T19:57:08Z,1960-08-18T19:57:08Z,3,Launch Successful,Success,,161,United States Air Force,Government,392,Thor Agena A,Thor Agena A,Agena A,False,153,McDonnell Douglas,2.0,2.0,28.0,2.44,53.0,667.0,250.0,,,,,1497.0,Discoverer 14,Government/Top Secret,Discoverer 14 was an American optical reconnaissance satellite. It was the first fully successful flight of the Discoverer series which returned film. The capsule was recovered mid air by an aircraft,8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
4a0e330d-c75a-433b-ad2e-f0be2ed9a018,Thor Agena A | Discoverer 15,1960-012,1960-09-13T22:13:39Z,1960-09-13T22:13:39Z,1960-09-13T22:13:39Z,3,Launch Successful,Success,,161,United States Air Force,Government,392,Thor Agena A,Thor Agena A,Agena A,False,153,McDonnell Douglas,2.0,2.0,28.0,2.44,53.0,667.0,250.0,,,,,1500.0,Discoverer 15,Government/Top Secret,Discoverer 15 was an American optical reconnaissance satellite. The orbital mission was successful but when the capsule was returned it failed to be captured and sank into the ocean.,8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
d1d6a521-65f5-44df-93ba-5f79773186f4,Atlas Agena A | Samos 1,,1960-10-11T20:33:28Z,1960-10-11T20:33:28Z,1960-10-11T20:33:28Z,4,Launch Failure,Failure,,161,United States Air Force,Government,231,Atlas Agena A,Atlas LV-3 Agena A,Agena A,False,1004,Convair,2.0,2.0,36.0,3.0,155.0,1340.0,1000.0,,700.0,,,1506.0,Samos 1,Government/Top Secret,A Satellite and Missile Observation satallite which failed to enter orbit due to a failure in the launch vehicle guidance system,8.0,Low Earth Orbit,LEO,93,Space Launch Complex 3W,34.644,-120.593,[],[],[],[],[],,[],[]
adca914e-1d47-47fd-a8d8-71b90dd9cbe1,Thor DM-21 Agena-B | Discoverer 16,,1960-10-26T20:26:09Z,1960-10-26T20:26:09Z,1960-10-26T20:26:09Z,4,Launch Failure,Failure,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1508.0,Discoverer 16,Government/Top Secret,Discoverer 16 was an American optical reconnaissance satellite. The launch failed when the Agena stage failed to seperate from Thor.,8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
ab21d17c-aa7d-46f5-9d39-601a4793f279,Thor DM-21 Agena-B | Discoverer 17,1960-015,1960-11-12T20:42:32Z,1960-11-12T20:42:32Z,1960-11-12T20:42:32Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1510.0,Discoverer 17,Government/Top Secret,Discoverer 17 was an American optical reconnaissance satellite. The mission was classed as a failure. Orbit was entered successfully however the film was separated before any camera operation leaving only 0.5m of film in the capsule.,8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
ba9b77a7-5d1b-47e9-89fc-2fc0050186df,Thor DM-21 Agena-B | Discoverer 18,1960-018,1960-12-07T20:20:58Z,1960-12-07T20:20:58Z,1960-12-07T20:20:58Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1515.0,Discoverer 18,Government/Top Secret,Discoverer 18 was an American optical reconnaissance satellite. This was the first successful mission employing the KH-2 camera system,8.0,Low Earth Orbit,LEO,95,Space Launch Complex 1W,34.7572,-120.6303,[],[],[],[],[],,[],[]
5930bee2-7e3b-4792-a04b-4b3da52821c1,Thor DM-21 Agena-B | Discoverer 19,1960-019,1960-12-20T20:32:00Z,1960-12-20T20:32:00Z,1960-12-20T20:32:00Z,3,Launch Successful,Success,,161,United States Air Force,Government,186,Thor DM-21 Agena-B,Thor DM-21 Agena-B,,False,161,United States Air Force,,,,,,,,,,,,1517.0,Discoverer 19,Government/Top Secret,Discoverer 19 was an American optical reconnaissance satellite. It was part of the Missile Defence Alarm System.,8.0,Low Earth Orbit,LEO,96,Space Launch Complex 1E,34.756,-120.6263,[],[],[],[],[],,[],[]
